"id","kanji_id","created_at","updated_at","level"
"309","1013","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"310","5","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"311","2392","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"312","87","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"313","1989","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"314","962","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"315","1426","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"316","2040","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"317","2729","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"318","1323","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"319","1322","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"320","2700","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"321","686","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"322","1615","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"323","389","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"324","454","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"325","351","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"326","1649","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"327","512","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"328","130","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"329","1078","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"330","1804","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"331","1408","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"332","455","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"333","2458","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"334","319","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"335","1220","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"336","1079","2010-02-17 12:32:40","2010-02-17 12:32:40","1"
"337","271","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"338","88","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"339","1822","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"340","944","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"341","47","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"342","1472","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"343","791","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"344","927","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"345","745","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"346","158","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"347","2032","2010-02-17 12:32:40","2010-02-17 12:32:40","1"
"348","21","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"349","1003","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"350","1833","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"351","1008","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"352","613","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"353","2561","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"354","849","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"355","1938","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"356","1476","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"357","689","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"358","314","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"359","2606","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"360","1391","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"361","72","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"362","1153","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"363","2223","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"364","456","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"365","2595","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"366","2086","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"367","746","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"368","1728","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"369","1953","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"370","390","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"371","2527","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"372","1392","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"373","2473","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"374","2881","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"375","272","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"376","1624","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"377","2041","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"378","2015","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"379","1925","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"380","180","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"381","1268","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"382","577","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"383","2516","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"384","1691","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"385","1918","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"386","2585","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"387","2459","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"388","946","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"389","2485","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"390","1823","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"391","273","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"392","1393","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"393","1080","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"394","1650","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"395","1532","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"396","77","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"397","2230","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"398","2493","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"399","226","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"400","2754","2010-02-17 12:32:40","2010-02-17 12:32:40","1"
"401","298","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
